3.0  4.60  10.47  
3.1  4.61  10.47  
3.2  2.37  7.27  
3.3  2.36  7.27  
3.4  2.09  4.88  
3.5  2.09  3.90  
3.6  2.09  3.90  
3.7  1.77  5.98  
3.8  1.54  2.88  
3.9  1.54  2.88  
4.0  2.28  5.93  
4.1  2.29  5.93  
4.2  1.62  5.15  
4.3  1.78  4.82  
4.4  1.80  4.41  
4.5  1.14  3.47  
4.6  1.02  3.06  
4.7  1.02  3.06  
4.8  1.02  3.06  
4.9  1.03  2.69  
5.0  1.81  6.03  
5.1  1.20  3.40  
5.2  1.10  3.00  
5.3  1.11  3.00  
5.4  0.88  3.02  
5.5  0.74  2.69  
5.6  0.75  2.69  
5.7  0.94  2.70  
5.8  0.95  2.46  
5.9  0.71  2.50  
6.0  1.21  4.11  
6.1  0.82  2.41  
6.2  0.76  2.21  
6.3  0.77  2.21  
6.4  0.66  2.21  
6.5  0.64  1.93  
6.6  0.65  2.27  
6.7  0.65  2.27  
6.8  0.46  2.27  
6.9  0.46  2.27  
7.0  0.93  3.92  
7.1  0.86  2.90  
7.2  0.68  1.74  
7.3  0.53  1.74  
7.4  0.48  1.99  
7.5  0.49  1.99  
7.6  0.48  1.99  
7.7  0.36  1.99  
7.8  0.36  1.99  
7.9  0.43  1.99  
8.0  0.74  3.00  
8.1  0.60  2.23  
8.2  0.55  2.17  
8.3  0.45  2.10  
8.4  0.38  1.51  
8.5  0.49  1.90  
8.6  0.55  2.49  
8.7  0.33  1.60  
8.8  0.34  1.60  
8.9  0.33  1.60  
9.0  0.60  2.90  
